0, 89, 153
1, 192, 288
2, 237, 250
3, 113, 17
4, 196, 83
5, 213, 115
6, 298, 26
7, 263, 88
8, 240, 11
9, 124, 247
10, 259, 157
11, 299, 100
12, 285, 252
13, 183, 28
14, 235, 185
15, 44, 224
16, 90, 101
17, 264, 141
18, 158, 293
19, 71, 71
20, 279, 199
21, 85, 112
22, 191, 40
23, 279, 177
24, 194, 52
25, 221, 92
26, 275, 107
27, 162, 272
28, 120, 70
29, 147, 32
30, 114, 242
31, 138, 180
32, 102, 103
33, 125, 228
34, 226, 233
35, 49, 55
36, 129, 94
37, 202, 40
38, 168, 153
39, 92, 276
40, 269, 0
41, 212, 158
42, 208, 211
43, 41, 25
44, 294, 159
45, 296, 11
46, 6, 122
47, 49, 4
48, 136, 122
49, 53, 23
